"child_id","user_id","nickname","child_name","birth_date","gender"
40,49,민호 아들,이준표,"2022-10-01",남아
41,51,주혁 아들,남주혁,"2022-11-01",남아
42,53,창욱 아들,지창욱,"2022-12-01",남아
43,55,종석 아들,이종석,"2023-01-01",남아
44,57,보검 아들,박보검,"2023-02-01",남아
45,59,강준 아들,서강준,"2023-03-01",남아
46,61,은우 아들,차은우,"2023-04-01",남아
47,63,효섭 아들,안효섭,"2023-05-01",남아
48,65,로운 아들,김로운,"2023-06-01",남아
49,67,재욱 아들,이재욱,"2023-07-01",남아
50,69,인엽 아들,황인엽,"2023-08-01",남아
51,71,하준 아들,위하준,"2023-09-01",남아
52,73,민규 아들,김민규,"2023-10-01",남아
53,75,송강 아들,송강,"2023-11-01",남아
54,77,도현 아들,이도현,"2023-12-01",남아
55,79,종협 아들,채종협,"2022-01-15",남아
56,81,승호 아들,유승호,"2022-02-15",남아
57,83,진구 아들,여진구,"2022-03-15",남아
58,85,다름 아들,남다름,"2022-04-15",남아
59,87,찬영 아들,윤찬영,"2022-05-15",남아
60,89,훈이 아들,강훈,"2022-06-15",남아
61,91,지수 딸,김지수,"2022-07-15",여아
62,93,보현 아들,안보현,"2022-08-15",남아
63,95,우식 아들,최우식,"2022-09-15",남아
64,97,교환 아들,구교환,"2022-10-15",남아
65,99,궁민 아들,남궁민,"2022-11-15",남아
66,101,상엽 아들,이상엽,"2022-12-15",남아
67,103,준호 아들,이준호,"2023-01-15",남아
68,105,나라 딸,권나라,"2023-02-15",여아
69,107,예은 딸,신예은,"2023-03-15",여아
70,109,민현 아들,황민현,"2023-04-15",남아
71,111,민기 아들,이민기,"2023-05-15",남아
72,113,기용 아들,장기용,"2023-06-15",남아
73,115,연석 아들,유연석,"2023-07-15",남아
74,117,경호 아들,정경호,"2023-08-15",남아
75,119,대명 아들,김대명,"2023-09-15",남아
76,121,현빈 딸,신현빈,"2023-10-15",여아
77,123,현성 아들,배현성,"2023-11-15",남아
78,125,솔로몬 아들,박솔로몬,"2023-12-15",남아
79,127,승리 딸,하승리,"2022-01-25",여아
80,129,석용 아들,정석용,"2022-02-25",남아
81,31,서준이 딸,박서연,"2023-03-25",여아
82,33,중기 딸,송지우,"2023-04-25",여아
83,35,공유 딸,공하윤,"2023-05-25",여아
84,37,동욱 아들,이시우,"2023-06-25",남아
85,39,현빈 딸,김라임,"2023-07-25",여아
86,41,정석 아들,조이준,"2023-08-25",남아
87,43,선호 딸,김혜진,"2023-09-25",여아
88,45,제훈 딸,이수연,"2023-10-25",여아
89,47,태오 딸,강지안,"2023-11-25",여아
90,49,민호 딸,이세령,"2023-12-25",여아
91,51,주혁 딸,남주혁,"2022-01-05",여아
92,53,창욱 딸,지창욱,"2022-02-05",여아
93,55,종석 딸,이종석,"2022-03-05",여아
94,57,보검 딸,박보검,"2022-04-05",여아
95,59,강준 딸,서강준,"2022-05-05",여아
96,61,은우 딸,차은우,"2022-06-05",여아
97,63,효섭 딸,안효섭,"2022-07-05",여아
98,65,로운 딸,김로운,"2022-08-05",여아
99,67,재욱 딸,이재욱,"2022-09-05",여아
100,69,인엽 딸,황인엽,"2022-10-05",여아
101,71,하준 딸,위하준,"2022-11-05",여아
102,73,민규 딸,김민규,"2022-12-05",여아
103,75,송강 딸,송강,"2023-01-05",여아
104,77,도현 딸,이도현,"2023-02-05",여아
105,79,종협 딸,채종협,"2023-03-05",여아
106,81,승호 딸,유승호,"2023-04-05",여아
107,83,진구 딸,여진구,"2023-05-05",여아
108,85,다름 딸,남다름,"2023-06-05",여아
109,87,찬영 딸,윤찬영,"2023-07-05",여아
110,89,훈이 딸,강훈,"2023-08-05",여아
111,91,지수 아들,김지수,"2023-09-05",남아
112,93,보현 딸,안보현,"2023-10-05",여아
113,95,우식 딸,최우식,"2023-11-05",여아
114,97,교환 딸,구교환,"2023-12-05",여아
115,99,궁민 딸,남궁민,"2022-01-20",여아
116,101,상엽 딸,이상엽,"2022-02-20",여아
117,103,준호 딸,이준호,"2022-03-20",여아
118,105,나라 아들,권나라,"2022-04-20",남아
119,107,예은 아들,신예은,"2022-05-20",남아
120,109,민현 딸,황민현,"2022-06-20",여아
121,111,민기 딸,이민기,"2022-07-20",여아
122,113,기용 딸,장기용,"2022-08-20",여아
123,115,연석 딸,유연석,"2022-09-20",여아
124,117,경호 딸,정경호,"2022-10-20",여아
125,119,대명 딸,김대명,"2022-11-20",여아
126,121,현빈 아들,신현빈,"2022-12-20",남아
127,123,현성 딸,배현성,"2023-01-20",여아
128,125,솔로몬 딸,박솔로몬,"2023-02-20",여아
129,127,승리 아들,하승리,"2023-03-20",남아
130,129,석용 딸,정석용,"2023-04-20",여아
131,31,하늘이,박하늘,"2022-05-10",여아
132,33,소율이,김소율,"2023-01-20",여아
133,35,로운이,이로운,"2022-07-18",남아
134,37,아윤이,최아윤,"2023-03-05",여아
135,39,이안이,강이안,"2022-11-22",남아
136,41,지아,조지아,"2023-08-14",여아
137,43,수호,윤수호,"2022-04-01",남아
138,45,아인이,임아인,"2023-06-28",여아
139,47,유찬이,황유찬,"2022-10-11",남아
140,49,나은이,송나은,"2023-02-19",여아
141,51,이준이,오이준,"2022-09-03",남아
142,53,서우,한서우,"2023-07-25",여아
143,55,로하,정로하,"2022-01-12",남아
144,57,지유,신지유,"2023-11-08",여아
145,59,시안이,권시안,"2022-06-06",남아
146,61,채아,장채아,"2023-04-17",여아
147,63,건후,안건후,"2022-12-24",남아
148,65,다엘이,백다엘,"2023-09-30",여아
149,67,이든이,허이든,"2022-02-28",남아
150,69,나율이,문나율,"2023-10-02",여아
151,71,주원,김주원,"2022-08-21",남아
152,73,하엘이,이하엘,"2023-05-16",여아
153,75,지오,박지오,"2022-03-29",남아
154,77,서아,최서아,"2023-12-13",여아
155,79,유누,강유누,"2022-07-09",남아
156,81,소이,조소이,"2023-02-04",여아
157,83,라온이,윤라온,"2022-11-15",남아
158,85,이서,임이서,"2023-08-22",여아
159,87,태리,황태리,"2022-05-27",여아
160,89,해준이,송해준,"2023-01-08",남아
161,91,시아,오시아,"2022-10-19",여아
162,93,서진이,한서진,"2023-06-01",남아
163,95,다온이,정다온,"2022-04-25",여아
164,97,재이,신재이,"2023-11-30",여아
165,99,이현이,권이현,"2022-09-13",남아
166,101,아리,장아리,"2023-07-07",여아
167,103,윤재,안윤재,"2022-01-02",남아
168,105,봄이,백봄,"2023-08-08",여아
169,107,가온이,허가온,"2022-03-18",남아
170,109,슬아,문슬아,"2023-12-25",여아
171,111,라엘이,김라엘,"2022-08-03",여아
172,113,노아,이노아,"2023-04-11",남아
173,115,새봄이,박새봄,"2022-06-14",여아
174,117,해솔이,최해솔,"2023-10-27",남아
175,119,다인,강다인,"2022-12-09",여아
176,121,수현,조수현,"2023-02-11",남아
177,123,지안,윤지안,"2022-07-30",여아
178,125,은성,임은성,"2023-05-04",남아
179,127,하람,황하람,"2022-11-01",여아
180,129,태양,송태양,"2023-09-19",남아
